work_id,edition_id,isbn13,title,author,status,cover_exists,page_count_exists,feature_exists,tag_count,recommendation_eligible,quality_class,quality_issue
1f7c9da6-a8f5-484a-88ee-0d2bc68a0816,4549923e-3d04-4122-b479-731eff0ed06f,,"""P-300"" ŭn narŭnda","Yi, Kŭm-ch'ŏl (Science fiction writer)",published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
8769d1de-5394-4968-a70a-819a78a18745,d895f0fe-05a2-4567-a891-465f8cf940aa,,2061,Arthur C. Clarke,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
e14f0672-36a0-43a4-954e-e5e3c342e4ce,0c8639d0-23c1-4401-9d8e-98e60dc65df3,,2nd Chance,"James Patterson, Andrew Gross",published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
80896d52-fb60-4d50-82bc-1866a0e5fc77,0b785556-5c4b-42e4-90f0-94129313c6a5,,8 Stunning Sexy Lovemaking,Alborz Azar,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
1af46b94-b048-4e40-9724-894d4a68c6dc,94d79714-5814-4fcc-a298-df5c22b87219,,A Child of Books,"Oliver Jeffers, Sam Winston, Sam Winston",published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
7bf7db1a-1bb3-43e2-a9e7-6b4460cad51f,7039335b-faca-4738-a07a-987082907703,,A Child's Calendar,John Updike,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
e8ec9762-aaf2-42ef-ae11-29b16612e2be,f76ccba1-a95c-4bcb-be81-9434178dbe25,,A Christmas Carol,Charles Dickens,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
a01d7743-5083-4190-895b-d422554f64d2,4c0224a9-5925-4f39-aad1-a2d5b88367a8,,A Clockwork Orange,Anthony Burgess,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
f4dff5d2-d555-4b2c-a247-72c527d509c9,d02f7186-b605-4b75-862a-bce5b1089b83,,A Dog So Small,"Philippa Pearce, Jenny Agutter",published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
c043a0aa-102b-484b-94ee-a8f42a9f3e18,524bffc8-8f49-4f1f-80db-53db8277ae36,,A Farewell to Arms,Ernest Hemingway,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
71452b1d-bf4e-4a99-b238-e1ffd2235a92,1198fcc7-e239-4aa0-97a9-2703fcce0aa3,,A Gentleman in Moscow,Amor Towles,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
959e7cb3-0d03-471f-9edb-43743b55a007,de9b89a0-a077-4ee3-a430-c5d8e96dc1be,,A Little Life,Hanya Yanagihara,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
29fbcf8c-965f-46d7-902b-638ecef24d36,6c71fcfc-24b5-4705-98fb-1e1e15e9f535,,A Midsummer Night's Dream,William Shakespeare,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
b8bef9f1-36a8-4f87-bd57-f3c5ece643fb,cb222c83-ebc0-4927-932a-09f3e9c40bb0,,A Portrait of the Artist as a Young Man,"James Joyce, James Joyce, james joyce, J Joyce",published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
e6ddc6d3-2626-4d42-be28-fff63fba9d37,ce725608-b97c-4600-9558-4db0661d0564,,A Q zheng zhuan,"Lu Xun, David Pollard",published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
037c4095-e5e3-4a40-ae20-3f568c006fbf,a9e753ae-c22f-4f22-a247-b1be3f64536e,,A Room of One's Own,Virginia Woolf,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
0aeaa2f0-61d8-40b1-a035-33f2d095ccc1,091b5d36-0a8c-4cc3-abde-a99b46438ccf,,A Stab in the Dark,Lawrence Block,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
6ba77b04-e364-48a3-9a67-c2fa2d366da6,dbf1c4cb-94d1-4377-bc54-e4778760c1a3,,A Tree Is Nice,Janice May Udry,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
5a14c32b-f72e-49fb-b9fe-b6cd8bcba5b1,dfc6e9c7-8879-4433-982c-8c55068bb4b8,,A boy wants a dinosaur,"Hiawyn Oram, Satoshi Kitamura",published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
86a60e3c-3d55-4d33-821e-974ba0388788,18fa206e-ef46-47e3-a3f3-6e51d08ca55c,,A bruxa de Portobello,Paulo Coelho,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
db766d41-7053-47d3-8a81-9641ebbe148b,a948acd4-c6ff-4e43-a4c8-8e58e08ec770,,A gesture life,Chang-rae Lee,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
83e487b4-1fef-4bcd-a179-54c3dd6f3f34,9f49a0cd-6aa5-446d-b32c-9dcd60f337c5,,A new coat for Anna,Harriet Ziefert,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
d85b0a63-6eac-41a6-bf66-69e6e53f26c1,26336500-26b0-4082-bf94-ad35dcc9d821,,A single shard,Linda Sue Park,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
c08e465e-ce8d-4c53-8ae4-56fcc9b17e23,194a36fb-aa57-4585-9cb0-2291389bceac,,A stolen tongue,Sheri Holman,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
81934709-8baa-4b58-8b63-f2f437a27458,90cc3c88-92bb-4fe5-b069-ecf04481f8f4,,Acide sulfurique,Amélie Nothomb,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
bda44cd0-033d-4817-b021-6eb94c724979,480c1e14-d314-422d-ad9c-88c53a2155d5,,Adventures of Huckleberry Finn,Mark Twain,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
0a96269f-ac78-43b7-861b-8bfd62d9662a,7218f46d-6000-473b-b2fd-003b8e30d6cb,,After You,"Jojo Moyes, Ana Momplet Chico, María del Mar López Gil",published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
4771ac1d-279e-4369-ba72-a807b993218a,c2e6b5ca-c7cd-4b52-8268-25afeb7de52b,,Agnes Grey,Anne Brontë,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
7f140b2f-3e49-45fc-92c1-6d09f726be35,060d0b3e-dbed-41bd-b727-267d77052d7b,,Aladdin and the wonderful lamp,Andrew Lang,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
44b92668-c7c0-4c7f-b1e7-3fa889fb2fd1,f5ec0fd1-1b49-4eca-b1c0-6df9a8451989,,Alice's Adventures in Wonderland,Lewis Carroll,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
28f17e4e-db60-4a41-a986-6b45614b3bd2,acc35ba7-61fc-4b40-8d23-ed53b074d455,,All that is,James Salter,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
9fa914e3-6d18-40c7-bb67-9b6e08a7e739,f805bc61-444c-498e-9e56-7ab6479ec0f2,,All the Light We Cannot See,Anthony Doerr,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
437f6ddf-54d3-4c08-90bd-b8023b236210,7ee7a99d-29b2-4aba-b0eb-16e7075a0b30,,Am Ufer des Rio Piedra saß ich und weinte,Paulo Coelho,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
409c6e24-e298-4b41-9103-39c2ae392b8d,77bd6aa3-fdc0-47b9-b698-769ca71e5e63,,Among Others,Jo Walton,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
46f212d5-4636-4ec2-8b31-6e5d0993a936,d8fc9f50-b462-438d-9338-1b92daf00348,,An American Tragedy,Theodore Dreiser,published/published,false,false,true,0,true,B_PARTIAL,missing_isbn13;missing_description;missing_publisher;missing_page_count;missing_cover
